1518148,5572309,13941313,30085675,33436583,34037160,37021013,38374651,42628695,54716168,57651700,59189593,59577399,91866735,302906238,349450705
一荤一素,奇妙能力歌 - (Demo),寂寞沙洲冷,浓情化不开,Villanelle,"我以为 - (电视剧《下一站,?幸福》插曲)",黄昏,对?不?起?。,水星记,Fantasy,终点,Take?me?hand,??????????(One?More?Chance),Photograph,佛系少女,不记（2016.4.19）
给你给我,野子,人海?-?2015版,过期荷尔蒙,The?Garden?of?Escapism?(AK?Remix),You?Are?a?Lover,冬天的秘密,I'm?back,Something?Just?Like?This?(Alesso?Remix),Beautiful,浮夸,something?just?like?this(deepmaniak?remix),Good?Day?for?a?Good?Day,Coming?Home,晴天,南方姑娘
The?Rose,Brother,人生如此 - (电影《青蛇》国语版插曲),强,LA?LA?LAND?(Extended?Mix),Everything?Has?Changed,其实都没有,十一种孤独,想着你,Hooked,亲爱的路人 - (电视剧《姐姐立正向前走》片尾曲),非酋,Runaway,Staring?At?You,断点,少年锦时
你好不好,旧情人，我是时间的新欢,奇妙能力歌 - (Demo),兔子先生（粤语版）（Cover?洛天依）,Make?Me...?,In?Between?The?Lines,年少有你 - (电影《栀子花开》正青春推广曲),给Lyon的歌,白兰鸽巡游记,Told?You?So,给自己的歌,青柠,The?Lucky?Ones,Dusk?Till?Dawn,房间,画
The?promise,红豆,一生爱你千百回,分分钟需要你 - (原唱:?林子祥),Where?The?Hood?At,Chasing?The?Wind,整座城市的安慰,生活又不是热血动漫,Something?Just?Like?This,Galway?Girl,习惯 - (电视剧《裸婚时代》插曲),PLANET,??????(Girlfriend),Perfect,全世界谁倾听你? - (电影《从你的全世界路过》插曲),我们的时光
也许明天,黑色信封?2015现场版,夕阳之歌(Live)?-?live - (电影《英雄本色3》主题曲),一块红布,城南花已开,All?In?My?Mind,感谢你感动我,She?Is,I?Want?to?Spend?My?Lifetime?Loving?You?(Duet?with?Marc?Anthony),Marry?You,茶汤 - (台湾电视剧《温柔的慈悲》片头曲),三十岁的女人,Spin?Up!,Supermarket?Flowers,无赖,理想
过不去,态爱,乐生,梦幻星座情人,贺新婚,不可能错过你,情画,友谊之光 - (电影《监狱风云》插曲),化身孤岛的鲸,Love?Me,九月(海子),孙大剩,?????(Too?late),superlit,勇,三十岁的女人
Danny?Boy,为你而来?,笑忘书,加减乘除,慕容雪,需要人陪,禁止悲伤,给自己的歌,Sweet?Rumors,That?Girl,流浪者,大浪淘沙,I?do - (???????),Rearrange,笑中有泪,吉姆餐厅
Voice?of?the?Past - (音之回忆),零缺点,郭源潮,紫钗恨,牡丹亭外,Long?Shot,故事画面,蜜蜂,"City?Of?Stars?-?From?""La?La?Land""?Soundtrack",Whistle,白银饭店,古风2016（Cover?小旭pro?/?洛天依）,In?Heaven?(Narr.????),How?Long,当我知道你们相爱 - (原唱:?郭富城),让我偷偷看你
A?Story?in?Macau - (终曲),爱若,夏天的味道,梦中情 - (《梦中人》电影歌曲),寻,背过手,有没有,啷个哩个啷,烟霞,Maps,岛屿云烟,One?Day?(Album?Version),Just?Another?Girl,Love?The?Way?You?Lie?-?Part?III?(Original?Demo),我可以忘记你,家乡
